test_id,brand,category,subcategory,client_message,actual_route,failure_class,issue_ru,needs_dmitry_answer,what_to_check,my_comment,draft_text
price_foton_01,foton,pricing,regular_courses,Сколько стоит онлайн-курс для 9 класса на 2026/2027?,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.",Онлайн-обучение в Фотоне: есть варианты оплаты за семестр и за год. Менеджер подскажет актуальную стоимость под ваш класс и курс.
price_foton_02,foton,pricing,regular_courses,Какая цена очного курса 7 класс физика?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Передам вопрос менеджеру: он проверит актуальную стоимость на нужный период и свяжется с вами.
price_foton_03,foton,pricing,regular_courses,Сколько за весь учебный год?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! В Фотоне по очному обучению для 5-11 классов при раннем бронировании до 1 июля 2026 стоимость за учебный год — 74 500 ₽. Чтобы проверить точную стоимость именно для вашего случая, подскажите, пожалуйста, класс ребенка, предмет и формат обучения: онлайн или очно."
price_foton_04,foton,pricing,early_booking,Что за раннее бронирование?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Раннее бронирование в Фотоне — это специальные условия для действующих учеников при записи на следующий учебный год заранее. По онлайн-направлению 5–11 классов на 2026/27 год в базе указаны условия: запись до 1 мая, оплата до 15 мая 2026, семестр — 29 750 ₽, год — 47 250 ₽. Сейчас лучше уточню по вашему классу и формату, можно ли применить эти условия именно в вашем случае."
price_foton_07,foton,pricing,4_weeks,А за месяц можно курс попробовать?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Да, можно рассмотреть вариант на 4 недели, чтобы попробовать обучение. Перед отправкой я проверю актуальную стоимость и наличие мест в подходящей группе. Подскажите, пожалуйста, класс ученика и интересующее направление?"
price_foton_08,foton,pricing,intensive_oge,Сколько стоит интенсив ОГЭ для 9 класса?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Менеджер свяжется и подскажет актуальную программу.
price_foton_09,foton,pricing,individual,А индивидуально можно онлайн?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Менеджер свяжется и подскажет варианты индивидуальных занятий.
price_foton_10,foton,pricing,after_deadline,А если оплатить в августе уже?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Если планируете оплату в августе, лучше отдельно проверить условия по вашей программе и группе: актуальную стоимость, наличие места и возможный срок оплаты. Менеджер сориентирует по вариантам именно для вашего случая."
discount_foton_04,foton,discount,refer_friend,Бонус за приглашённого друга есть?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Да, в Фотоне есть бонус за приглашённого друга: кэшбек 10 000 ₽. Условия зависят от формата: для очного обучения — после того, как друг посетит 5 занятий, для онлайн — после оплаты и прохождения семестра. Напишите, пожалуйста, какой у вас формат обучения, и я проверю применимость бонуса к вашему случаю."
discount_foton_05,foton,discount,active_to_camp,"Я давно учусь у вас, на лагерь будет скидка?",draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Скидки на лагерь зависят от действующих условий и вашей ситуации как ученика. Я проверю, какая скидка может применяться именно к вам, и вернусь с подтверждением."
discount_foton_06,foton,discount,loyalty,Мы три раза подряд ездили в ваш лагерь. Бонусы будут?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Спасибо, что уже несколько раз выбираете наш лагерь. По бонусам для постоянных участников нужно проверить вашу историю участия и смену, на которую вы планируете записываться: условия могут зависеть от формата и программы. Подскажите, пожалуйста, на какую смену рассматриваете поездку, а менеджер проверит доступные варианты."
price_unpk_01,unpk,pricing,regular_courses,Цена очного курса 7 класс физика,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Для 5-11 классов в УНПК есть варианты оплаты за семестр и за год. Менеджер свяжется и подскажет актуальную стоимость под ваш класс, курс и формат."
price_unpk_02,unpk,pricing,regular_courses,Сколько стоит курс для 8 класса очно?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Для очного курса для 8 класса по текущим условиям раннего бронирования до 1 июля 2026: семестр — 49 000 ₽, год — 82 000 ₽. Могу также подсказать варианты по срокам оплаты и ближайшим группам."
price_unpk_03,unpk,pricing,1_4_class,А для 2 класса есть очно?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Да, для 2 класса очный формат есть. По актуальным условиям занятия для 1-4 классов проходят очно на площадке в Долгопрудном, Проспект Пацаева, 7к1. Менеджер уточнит подходящую группу и расписание."
price_unpk_07,unpk,pricing,patsayeva,Цена курса на Пацаева 2 раза в неделю,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.",Здравствуйте! По формату на Пацаева 2 раза в неделю нужно отдельно проверить актуальную возможность набора и условия. Сориентируем вас по доступным вариантам в рамках УНПК и подскажем стоимость после уточнения курса или класса.
price_unpk_08,unpk,pricing,intensive_ege,Сколько стоит интенсив ЕГЭ для 10-11 классов?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Менеджер свяжется и подскажет актуальную программу.
price_unpk_09,unpk,pricing,4_weeks,А за 4 недели цена есть?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Да, формат на 4 недели есть. Я уточню актуальную стоимость именно для вашей группы и периода обучения и сориентирую вас."
price_unpk_10,unpk,pricing,after_deadline,"Если оплачивать в августе, какая цена?",draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Если оплата будет в августе, нужно ориентироваться на тариф, действующий на дату оплаты. Точная стоимость зависит от программы, формата, класса и периода обучения. Подскажите, пожалуйста, какой курс и на какой срок рассматриваете — проверю актуальные условия в рамках УНПК."
discount_unpk_06,unpk,discount,active_to_camp,"Я учусь у вас давно, лагерь будет со скидкой?",manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Для действующих учеников УНПК предусмотрена скидка 7% при покупке летнего лагеря. Я уточню по вашей программе и смене, чтобы менеджер проверил условия и рассчитал итоговую стоимость."
discount_unpk_07,unpk,discount,loyalty,"Мы постоянные гости вашего лагеря, бонусы для нас будут?",draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Спасибо, что снова выбираете нас. По бонусам для постоянных участников лагеря сориентируем индивидуально: менеджер проверит вашу историю участия и актуальные условия по текущей смене УНПК, после этого подскажет, какие варианты можем предложить."
matkap_foton_01,foton,matkap,general,Можно оплатить материнским капиталом?,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.","Здравствуйте! Да, оплата материнским капиталом возможна. Работаем с федеральным маткапиталом. Менеджер подскажет порядок оформления через СФР и проверит, подходит ли ваша ситуация. Напишите, пожалуйста, какой курс рассматриваете и возраст ребёнка."
matkap_foton_03,foton,matkap,timeline,Сколько ждать перевода через СФР?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Если речь о федеральном материнском капитале, СФР рассматривает заявление до 10 рабочих дней, после этого перевод может занять ещё до 5 дней. В сумме ориентир — до 15 рабочих дней. Если заявление уже подано, напишите дату подачи — менеджер сориентирует по текущему этапу."
matkap_foton_05,foton,matkap,age,Ребёнку 26 — можно ещё маткапиталом оплатить?,draft_for_manager,test_requires_business_decision,Нужно бизнес-решение: можно ли так отвечать и какой факт считать правильным.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Без решения команды это нельзя честно закрыть кодом.,"Здравствуйте! По оплате материнским капиталом для совершеннолетнего ученика есть возрастные ограничения. Уточню у нашего специалиста по маткапиталу, подходит ли ваш случай, и вернусь с ответом. Подскажите, пожалуйста, какой курс рассматриваете?"
matkap_unpk_01,unpk,matkap,general,Можно оплатить материнским капиталом?,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.","Здравствуйте! Да, оплатить обучение федеральным материнским капиталом возможно. Менеджер пришлёт перечень документов и поможет с оформлением через СФР. Подскажите, пожалуйста, ФИО ребёнка и какой курс рассматриваете?"
matkap_unpk_03,unpk,matkap,partial,"Можно частично маткапиталом, частично деньгами?",draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.","Здравствуйте! Частичная оплата материнским капиталом и частично собственными средствами возможна, но точный порядок лучше проверить по вашему курсу и сумме. Менеджер подскажет варианты оформления через СФР и пришлёт перечень документов."
matkap_unpk_04,unpk,matkap,individual,А на индивидуальные занятия маткапитал примут?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Менеджер свяжется и подскажет варианты индивидуальных занятий.
tax_foton_01,foton,tax,general,Можно получить налоговый вычет?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Да, есть лицензия на ведение образовательной деятельности. Менеджер поможет подготовить документы для налогового вычета."
tax_foton_02,foton,tax,multiple_years,А за прошлые годы можно?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Менеджер свяжется и подготовит справку: срок до 10 дней, постараемся раньше. Уточним данные для подготовки."
tax_foton_03,foton,tax,two_children,"У меня двое детей, оба на курсах",manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Поняла, у вас двое детей и оба проходят обучение. Я передам это менеджеру, чтобы он проверил, какие документы можно подготовить по каждому ребёнку."
tax_unpk_01,unpk,tax,general,Налоговый вычет можно получить?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Да, есть лицензия на ведение образовательной деятельности. Менеджер поможет подготовить документы для налогового вычета."
tax_unpk_02,unpk,tax,sum,Какую сумму вернут?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","ФНС рассматривает заявление и принимает решение. Справка помогает подтвердить обучение, а менеджер подскажет порядок оформления."
tax_unpk_03,unpk,tax,old_year,А за 2023 как считается?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Менеджер свяжется и подготовит справку: срок до 10 дней, постараемся раньше. Уточним данные для подготовки."
tax_unpk_04,unpk,tax,deadline,Сколько ждать после подачи?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Менеджер свяжется и подготовит справку: срок до 10 дней, постараемся раньше. Уточним данные для подготовки."
camp_foton_01,foton,camp,lvsh_general,Что у вас по лагерю летом?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Летом у Фотона есть варианты лагеря: выездная ЛВШ в Менделеево с проживанием и городская летняя школа без проживания. По выездной ЛВШ: смены Фотона запланированы на 20-28 июня и 18-26 июля, проживание в комнатах по 2-3 человека, 5-разовое питание, охрана 24/7 и бесплатный трансфер из Москвы. Стоимость по актуальным условиям: полный тариф 98 000 ₽, есть варианты от 75 000 ₽. Подскажите, пожалуйста, возраст и класс ребенка, а также какой формат интереснее: выездной с проживанием или городской?"
camp_foton_02,foton,camp,lvsh_price,Сколько стоит выездная Менделеево?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Выездная летняя школа в Менделеево с проживанием стоит 98 000 ₽ по полному тарифу, сейчас есть варианты от 75 000 ₽. В стоимость входят проживание, 5-разовое питание, занятия, охрана 24/7 и бесплатный трансфер из Москвы. Ближайшая открытая смена Фотона: 20–28 июня. Подскажите, пожалуйста, для какого класса или возраста рассматриваете смену, чтобы сориентировать по подходящей группе?"
camp_foton_04,foton,camp,ls_city,А городской лагерь Фотон есть?,manager_only,test_requires_business_decision,Нужно бизнес-решение: можно ли так отвечать и какой факт считать правильным.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Без решения команды это нельзя честно закрыть кодом.,"ЛШ Москва Фотон проходит 3-14 августа, адрес: Верхняя Красносельская. Менеджер подскажет детали записи."
camp_foton_05,foton,camp,food,Как с едой в Менделеево?,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.","Здравствуйте! В Менделеево на выездной ЛВШ Фотона предусмотрено 5-разовое питание: шведский стол, ресторанный уровень. Если есть аллергии или ограничения по питанию, напишите, пожалуйста, какие именно — менеджер отдельно уточнит, как это можно учесть."
camp_foton_06,foton,camp,safety,А с безопасностью как?,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.","Здравствуйте! По безопасности на смене предусмотрены организационные меры: территория находится под круглосуточной охраной, режим и доступ контролируются. Менеджер дополнительно сориентирует по вашей смене: как устроено сопровождение детей, связь с родителями и порядок действий в разных ситуациях."
camp_foton_07,foton,camp,transfer,Как добраться до Менделеево?,draft_for_manager,expected_marker_too_strict,"Тест слишком придирчив к точным словам, надо проверить смысл.",нет,"Скорее всего, надо поправить тест, если смысл ответа верный.","Возможна ложная тревога теста: надо сравнить смысл, а не точное слово.","Здравствуйте! До ЛВШ в Менделеево предусмотрен бесплатный трансфер из Москвы. Точную точку сбора и время отправления подскажем по вашей смене. Если планируете добираться самостоятельно, тоже сориентируем по маршруту и адресу."
camp_unpk_01,unpk,camp,lvsh_general,Расскажите про летний лагерь,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"У нас преподают специалисты из МФТИ, МГУ, ВШЭ, МИФИ, эксперты ЕГЭ и члены жюри олимпиад. Менеджер подскажет преподавателя по конкретной группе."
camp_unpk_02,unpk,camp,lvsh_price,Цена ЛВШ Менделеево,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",ЛВШ Менделеево у УНПК: 18-26 июля и 15-25 августа. Менеджер подскажет наличие мест.
