эффективная_цена	остаток_уточненный	разница_к_прайсу_%	статус_цены	стоимости_абонементов	скидки_абонементов	комментарий_проверки_цены	abonement_ids
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c401098a-e212-e2c0-5baa-6a21767342f1
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135.0	7865.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	f5a5066c-eab7-f11f-f0af-69d37b97eab3
83790	0	0.1	оплачено со скидкой/ранним бронированием	83790.0	3210.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ed147799-7a0f-74b3-abc8-69ff288dc8a8
88445	0	0.05	оплачено со скидкой/ранним бронированием	88445	-1445	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7986cae2-1870-22d5-71b5-6a2181aa77dc
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	348323f6-de36-2e77-221b-69c634b46619
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400.0	8600.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e8109a6e-927d-f585-7fd7-69a81c3bb3a2
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7ceb90b2-56f1-a562-beb4-698d9a661b3b
82700	0	0.1117	оплачено со скидкой/ранним бронированием	82700	4300	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2d1cb240-01a6-b8f0-e17d-69e11f8209b1
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	56283c93-436f-ce4d-f75f-69e120a1041f
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c2212f2b-3d8e-2da1-9546-698d98d83912
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d4689355-9c1e-ec68-353c-69a7fdec5c0b
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	de8d022e-91df-b077-7d24-69a7fd9d936c
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d2b2eed5-92f8-77ca-142f-69ff1ae8f386
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2bc3851c-b81e-0ec6-a80e-696751144c85
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	10220cab-ea5f-ae6a-5c90-6996c9306e38
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7a03437e-a163-ab42-0791-697c9e8f16b5
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2320bbc8-dac1-56ac-cc3b-69d3a6530c34
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	aee7ee8e-2000-dcb5-0025-69dcc693d6ed
61740	0	0.3368	оплачено	61740	25260	Оплата покрывает персональную цену	cc1fd2f0-7ef5-d582-a5b6-69d3a6f1ffdf
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2e4859d4-79a6-772f-a7bc-69d3a0fcf445
75000	40000	0.6241	частично/долг	75000	12000	Оплата меньше персональной цены	38e36d53-50af-f24d-ab21-69e12a3138f9
70560	0	0.2421	оплачено со скидкой/ранним бронированием	70560	16440	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d81d093d-227e-21d1-36ab-69b69a7f980c
70560	0	0.2421	оплачено со скидкой/ранним бронированием	70560	16440	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ac9f44da-65a1-786f-590a-69c633dfe46b
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6ee43227-c0d1-2d7d-8872-6968cabb1dc9
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d6efcd7a-c68e-61c9-780c-69c62fcf24cb
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	765930b4-0f08-db99-de03-69c39f1a6e90
42000	0	0.5489	оплачено			Оплата покрывает персональную цену	
42000	0	0.5489	оплачено			Оплата покрывает персональную цену	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	534d225a-d07d-c23c-03de-69ff1b9fd451
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	512300ce-4c80-c7d3-8cab-6a0d9f1e783a
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2a8f059d-3d86-6e74-6fe5-69de29b5bbfd
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	50d8cb9f-73c8-b80f-61a1-69a8003048db
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6a464543-ea50-e4bd-9c41-6996ca286d2c
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e5fa99dd-27de-a8fe-da7a-69b695726f4b
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	a1c7240f-5104-ecb0-bf12-69d37ead4249
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	931113c2-6aa7-6bd2-c0fa-697c9e737465
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6238166f-0322-1a9b-2723-69ff2b03f5ba
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	287560c7-0359-8093-5e95-69eb57b7f95c
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c65e0e23-d045-7985-ff32-69b69d634ed3
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	53ea8264-a964-1070-fb12-69b69e8c5a97
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3ba3abde-e561-90d8-bdb3-698d9b5ef6b8
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	941a352f-5f47-c806-64b4-69c39fcd8345
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9a201c4b-d739-cf79-5926-69c39fb8258c
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	0	0	оплачено со скидкой/ранним бронированием	93100.0	-6100.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ec09cd54-8a95-866a-a98a-6a0d959f4476
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7f88a539-1148-0a3c-d7c4-697c9cd565f2
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	aee4a75e-7997-a69f-98aa-6a0c60583323
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
46550	0	0.5	оплачено			Оплата покрывает персональную цену	
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2f616e53-8238-923e-c688-6a0d9565ec4a
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	8edc3ea8-1e36-e217-4742-698da159c96f
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b2580280-782e-4a24-e355-69848ef48179
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9f4d66ad-88f7-ac63-529b-69e879be8299
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9c9cf8c0-43e3-b2ab-858e-6967529aab96
88445	0	0.05	оплачено со скидкой/ранним бронированием	88445	-1445	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	92630212-4d7c-63fc-c70c-6a2177ad768a
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	408c77fc-5b94-5355-30d9-6a1416707bba
46000	0	0.5059	оплачено			Оплата покрывает персональную цену	
75000	0	0.1944	оплачено со скидкой/ранним бронированием			Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	71bd463c-df24-d5b9-3410-69d3a27edbaf
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	24ed5f0b-f956-3e92-3354-6a215df7664e
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	a3ea364f-bccc-ab20-56ca-6a1419759fd0
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7b88d799-2583-e3fe-1612-69d37af40845
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c7a2067f-992b-b478-e0d5-696752476713
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	a7990fdd-7ba4-569d-51ec-697c9a2bf4fc
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	1e7f0d33-71e2-f03b-26d6-6a0c6016ce41
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	627168b3-dc47-bbfc-3dd6-698491225002
88445	0	0.05	оплачено со скидкой/ранним бронированием	88445	-1445	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	89acab41-2c19-f3e2-c68d-6a2178bc9d30
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	865ba2da-9253-2092-2e9b-6a0c6429cfb6
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7ce90675-8e6e-6b9a-14c6-6a0c602ebb7d
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	1d2d1448-8477-7359-b394-698490e8614e
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d29a824a-03bc-ee11-9e71-6983970149e0
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b408e354-834e-1698-0962-69cf697de8d2
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	771e7f76-5141-4126-347f-696752fe643c
83300	0	0.1053	оплачено со скидкой/ранним бронированием			Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ea81fa9b-c3c3-f874-0314-699ff28e291d
46550	0	0.5	оплачено			Оплата покрывает персональную цену	
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135.0	7865.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e0fe52a7-6dbb-e1a1-1b6a-698d97cb2838
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
83290	0	0.1054	оплачено со скидкой/ранним бронированием	83290	3710	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d16a987a-6c9a-01e1-5eee-69dcc7f3e475
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
70000	0	0.2481	оплачено со скидкой/ранним бронированием	70000	17000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	41008efd-db4e-9649-722a-69a81cc7dfef
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	199b9778-f746-253d-0073-69d3a5e1b692
15000	0	0.8389	оплачено			Оплата покрывает персональную цену	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6e9fb783-5c79-02d9-8073-69bd19b72ac1
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	407f74c2-0049-73ad-0d43-69be814237fd
74135	0	0.2037	оплачено со скидкой/ранним бронированием	74135	12865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	8ffb9d2c-9abf-4611-4082-69a8099d1ec6
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
46550	0	0.5	оплачено			Оплата покрывает персональную цену	
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c3db389b-db94-40a2-951e-69a977389dbf
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	76d144b7-a516-77c8-6cff-69a9771edbaa
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6e366ce0-bf53-0caa-a84d-696752ee17a6
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	5413b442-839c-65b1-9e41-69a811cec99c
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6dc753cf-a345-de7e-a089-6a182d3e3db7
114000	0	0	оплачено со скидкой/ранним бронированием	114000.0	-27000.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	f104b151-4019-b7b7-8d86-6a0d83de084a
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	cdba77d3-331f-7a64-c301-6a141bb137d9
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	bc99810d-e05a-527a-6c7e-6a0d763e3522
95900	0	0.1588	оплачено со скидкой/ранним бронированием	95900	-8900	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7b162ab2-59d1-d5bc-8e70-6967c2103306
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3a6d0829-2413-36f2-ce03-6a141c36f991
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	78841ba1-f935-0933-ff8e-6a01c5cedbcd
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2d586ddd-37db-5b14-1cbd-6a0c53f7ea89
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	65d46ac9-c8f0-d394-0bae-6a0c539c9387
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d56b3717-a958-212f-9c32-6a0c56055816
108300	0	0.05	оплачено со скидкой/ранним бронированием	108300	-21300	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	464dc7ba-2806-75ad-da90-6a1d3a122fdd
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b87b3fa5-8c99-6e85-614b-6a181d6ab89c
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ac423aeb-c3b2-99d8-dd5d-6a0c593db926
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	8c681efd-bc2c-3951-6713-6a182e31bee5
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3564782e-376a-7650-aa65-6a213708dee2
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b5326d12-44c0-fc6e-d42f-6a215643ad37
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2a2b6684-341d-91f9-fa98-69f316ff28a4
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	befea1e7-e8e0-d15a-4c94-6a0d755c8189
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	b7640e4d-1d4f-5307-caea-6a182bb686ae
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	114000	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6229e7a9-791f-d476-92cb-6a1421b8a434
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	91f2d751-57b2-5b22-553a-6a0d73899485
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	42fdabc0-a3fe-be7e-1e95-6a0c6710a713
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	5e019f0f-c873-b88c-df3c-6a1421472e8d
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	606305d5-53cc-d72f-3ff3-6a0c59849580
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3a31edf0-8acd-eada-ca6d-6a181eb187e3
89900	0	0.2114	оплачено со скидкой/ранним бронированием	89900	-2900	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	27e7349f-3e81-7195-edd2-6a0de92aaa0d
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4b7f215b-c144-254b-d761-6a01c5028062
102600	0	0.1	оплачено со скидкой/ранним бронированием	102600	-15600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	48230b3b-4390-3ff0-967a-6a0d7e6979bb
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2a66303f-7a5d-5b42-e7af-6a0d783408a1
57000	0	0.5	оплачено			Оплата покрывает персональную цену	
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4c4cb034-1256-8529-6452-6a0c5eed1625
114000	0	0	оплачено со скидкой/ранним бронированием	114000	-27000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9c752f2a-1d1c-5694-95c8-69f2ffba5692
